,price,address,street,agency,irl,image,Living area,Rooms,interior,status,Year of construction,plot area,garden area,postcode,date
62,2000,1012 RN Amsterdam (Burgwallen-Nieuwe Zijde),Apartment Wijdesteeg 3 L,The Tenants Group,/apartment-for-rent/amsterdam/a7046382/wijdesteeg,https://media.pararius.nl/image/PR0001657000/PR0001657992/image/jpeg/400x600/AmsterdamWijdesteeg-89e5_15.jpg,65,2,Furnished,,,,,1012RN,2021-08-25
63,1650,5611 VA Eindhoven (Irisbuurt),Apartment Kanaaldijk-Zuid,GOETH Vastgoed,/apartment-for-rent/eindhoven/c42e6a48/kanaaldijk-zuid,https://casco-media-prod.global.ssl.fastly.net/c42e6a48-283f-5c2d-9c41-05edce061f87/95b437f7ede9802ba2c1552f066d5aef.jpg?width=600&auto=webp,75,3,Upholstered,,,,,5611VA,2021-08-25
64,1129,3063 PA Rotterdam (Struisenburg),House Bartholomeus Everardus Molen 24,Woonstad Rotterdam,/house-for-rent/rotterdam/ac3d1c95/bartholomeus-everardus-molen,https://casco-media-prod.global.ssl.fastly.net/ac3d1c95-08c5-5613-baa3-2079306925e7/87732d60a189fadfe90f3fb673b25a2d.jpg?width=600&auto=webp,82,3,Shell,,1982,,,3063PA,2021-08-25
65,2500,1015 DL Amsterdam (Grachtengordel-West),Apartment Prinsengracht 69 A,27 Huis Makelaars,/apartment-for-rent/amsterdam/c259b83f/prinsengracht,https://casco-media-prod.global.ssl.fastly.net/c259b83f-eeac-50a5-a5a1-b7cce5a25655/68fe17b19b790ddca26a3547fc9e3fe2.jpg?width=600&auto=webp,100,2,Upholstered,,1991,,,1015DL,2021-08-25
66,2750,1052 KJ Amsterdam (Frederik Hendrikbuurt),Apartment Van Oldenbarneveldtstraat,Compass Housing Amsterdam,/apartment-for-rent/amsterdam/b453a697/van-oldenbarneveldtstraat,https://casco-media-prod.global.ssl.fastly.net/b453a697-2bfc-5b06-85a6-e5cdf91d008b/42531a3a209c8678fadb8393d1c48a6a.jpg?width=600&auto=webp,100,4,Furnished,,1892,,,1052KJ,2021-08-25
67,4200,1016 RN Amsterdam (Jordaan),Apartment Lauriergracht 92 H,Urban Homies,/apartment-for-rent/amsterdam/b1defbe8/lauriergracht,https://casco-media-prod.global.ssl.fastly.net/b1defbe8-4dcb-5de8-af3a-eac1ec06dd70/e3e8969f48457138329293242a666cfa.jpg?width=600&auto=webp,150,5,Upholstered or furnished,,1800,,,1016RN,2021-08-25
68,1150,2583 KG Den Haag (Duindorp),Apartment Pluvierstraat,Mevrouw de Verhuurmakelaar,/apartment-for-rent/den-haag/8b087180/pluvierstraat,https://casco-media-prod.global.ssl.fastly.net/8b087180-aeab-5eef-8b48-e2427eed9ef0/c69de6d7675113e7f60d634ff8fe4baf.jpg?width=600&auto=webp,74,4,Furnished,,,,,2583KG,2021-08-25
69,1650,1015 BC Amsterdam (Grachtengordel-West),Apartment Herengracht,Relocation Advisers B.V.,/apartment-for-rent/amsterdam/2ab7be29/herengracht,https://media.pararius.nl/image/PR0001657000/PR0001657991/image/jpeg/400x600/AmsterdamHerengracht-d8f8_4.jpg,75,2,Furnished,,,,,1015BC,2021-08-25
70,1495,2042 LS Zandvoort (Centrum),Apartment Louis Davidsstraat 15 a,Greeven Makelaardij o.g.,/apartment-for-rent/zandvoort/fd8892c8/louis-davidsstraat,https://casco-media-prod.global.ssl.fastly.net/fd8892c8-e90e-5174-84ba-b9da75b10a25/6a6dbd81182cf2f665c143fc26b632e3.jpg?width=600&auto=webp,77,3,Upholstered,,1903,,,2042LS,2021-08-25
71,7000,1075 ET Amsterdam (Willemspark),House Valeriusstraat,Haagen & Partners,/house-for-rent/amsterdam/95d08c9a/valeriusstraat,https://casco-media-prod.global.ssl.fastly.net/95d08c9a-e1f9-5807-83a9-e0e090256ef7/b312e413db4c7fcc52d1b0c1756d5ad5.jpg?width=600&auto=webp,275,5,Upholstered,,,,,1075ET,2021-08-25
